antenna,frequency,power,modulation,par,bandwidth,distance,angle,x,y,sar10g,u10g
D300,300,21,M2,10,0,25,30,-7,76,0.179,0.25
D300,300,34,M1,0,0,15,195,13,54,4.43,0.25
D450,450,14,M11,5.73,3,15,180,8,-7,0.074,0.25
D450,450,27,M9,6.41,1.4,15,225,-18,-70,1.31,0.25
D750,750,11,M12,6.65,3,15,330,31,34,0.066,0.25
D750,750,21,M12,6.65,3,25,345,25,63,0.448,0.25
D835,835,19,M18,5.67,20,25,75,-34,-52,0.276,0.25
D835,835,24,M13,2.91,5,5,300,18,7,1.30,0.25
D900,900,20,M8,5.76,1.4,15,60,22,29,0.643,0.25
D900,900,22,M16,6.44,5,15,315,-23,-49,1.07,0.25
D900,900,26,M11,5.73,3,5,240,5,70,2.73,0.25
D1450,1450,7,M7,7.7,0.8,10,75,-13,1,0.074,0.25
D1450,1450,10,M11,5.73,3,5,255,-28,-20,0.169,0.25
D1750,1750,22,M18,5.67,20,25,30,-40,-2,0.611,0.25
D1750,1750,22,M18,5.67,20,5,255,-22,39,3.78,0.25
D1950,1950,5,M18,5.67,20,5,45,38,19,0.097,0.25
D1950,1950,24,M8,5.76,1.4,25,0,39,-58,1.04,0.25
D2300,2300,6,M3,11.96,0.2,10,45,10,48,0.093,0.25
D2300,2300,25,M1,0,0,5,165,-1,59,10.28,0.25
D2450,2450,2,M23,8.9,80,5,90,-18,-28,0.064,0.25
D2450,2450,22,M23,8.9,80,25,120,0,-79,0.702,0.25
D2600,2600,18,M18,5.67,20,25,0,-27,-10,0.216,0.25
D2600,2600,8,M18,5.67,20,5,150,-36,78,0.268,0.25
D3700,3700,14,M21,8.43,25,25,120,-25,-14,0.081,0.3
D3700,3700,22,M2,10,0,10,135,-10,-35,4.028,0.3
D4200,4200,12,M1,0,0,10,195,-32,-62,0.32,0.3
D4200,4200,17,M6,7.93,0.4,25,315,-37,-37,0.139,0.3
D4600,4600,11,M21,8.43,25,10,180,2,-6,0.284,0.3
D4600,4600,13,M21,8.43,25,5,90,23,10,1.207,0.3
D5200,5200,0,M19,9.38,20,5,300,-11,-39,0.053,0.3
D5200,5200,16,M23,8.9,80,25,210,32,38,0.158,0.3
D5200,5200,11,M20,10.12,20,5,105,30,28,0.665,0.3
D5500,5500,14,M22,8.91,40,5,225,26,19,1.606,0.3
D5600,5600,7,M19,9.38,20,5,285,4,-64,0.335,0.3
D5600,5600,13,M19,9.38,20,10,210,-33,57,0.439,0.3
D5600,5600,21,M19,9.38,20,10,300,-6,-44,3.076,0.3
D5800,5800,9,M3,11.96,0.2,25,60,-4,-71,0.042,0.3
D5800,5800,14,M22,8.91,40,10,150,-3,-75,0.573,0.3
V750,750,23,M17,6.59,10,2,345,17,72,0.669,0.3
V750,750,28,M15,5.75,5,2,240,-21,15,2.321,0.3
V835,835,20,M17,6.59,10,2,165,34,-47,0.343,0.3
V835,835,29,M8,5.76,1.4,2,270,8,-30,3.298,0.3
V1950,1950,25,M18,5.67,20,2,285,20,-56,1.108,0.3
V3700,3700,14,M2,10,0,2,135,11,-17,0.103,0.3
V3700,3700,27,M1,0,0,2,15,-15,24,2.262,0.3
V3700,3700,27,M7,7.7,0.8,2,75,28,4,1.988,0.3
C2450A,2450,19,M10,10.26,1.4,7,105,16,65,0.241,0.25
C2450A,2450,30,M10,10.26,1.4,7,330,-9,-23,2.774,0.25
C2450B,2450,28,M6,7.93,0.4,7,270,-30,45,1.715,0.25
C2450B,2450,29,M22,8.91,40,7,0,37,42,2.063,0.25
