antenna,frequency,power,modulation,par,bandwidth,distance,angle,x,y,sar10g,u10g
D300,300,26,M1,0.0,0.0,15,105,15,-3,0.725,0.25
D300,300,28,M1,0.0,0.0,25,30,15,61,0.894,0.25
D300,300,21,M2,10.0,0.0,25,150,9,11,0.171,0.25
D300,300,21,M2,10.0,0.0,15,225,-12,-24,0.215,0.25
D300,300,33,M1,0.0,0.0,25,225,-33,-14,2.518,0.25
D300,300,33,M1,0.0,0.0,15,285,-4,63,3.719,0.25
D300,300,34,M1,0.0,0.0,15,180,2,-56,4.481,0.25
D300,300,26,M2,10.0,0.0,15,30,-23,8,0.757,0.25
D300,300,30,M2,10.0,0.0,25,90,21,50,1.211,0.25
D300,300,30,M2,10.0,0.0,25,240,-32,51,1.292,0.25
D300,300,30,M2,10.0,0.0,25,0,-15,58,1.333,0.25
D300,300,40,M1,0.0,0.0,25,315,16,-44,12.574,0.25
D300,300,41,M1,0.0,0.0,25,120,-7,35,15.902,0.25
D300,300,41,M1,0.0,0.0,25,135,-18,-31,15.918,0.25
D300,300,42,M1,0.0,0.0,25,165,4,77,21.2,0.25
D300,300,43,M1,0.0,0.0,25,255,-25,-39,25.882,0.25
D300,300,36,M2,10.0,0.0,15,30,-25,24,7.147,0.25
D450,450,14,M15,5.75,5.0,15,150,-29,-11,0.075,0.25
D450,450,14,M12,6.65,3.0,15,60,33,-30,0.074,0.25
D450,450,16,M15,5.75,5.0,15,15,20,-17,0.117,0.25
D450,450,16,M8,5.76,1.4,15,105,21,44,0.109,0.25
D450,450,17,M12,6.65,3.0,25,90,25,-62,0.099,0.25
D450,450,19,M12,6.65,3.0,25,75,6,42,0.163,0.25
D450,450,19,M12,6.65,3.0,25,180,15,-60,0.174,0.25
D450,450,19,M12,6.65,3.0,25,345,-5,-38,0.161,0.25
D450,450,18,M16,6.44,5.0,15,240,38,21,0.181,0.25
D450,450,20,M9,6.41,1.4,25,75,38,76,0.213,0.25
D450,450,24,M16,6.44,5.0,15,330,-16,67,0.653,0.25
D450,450,27,M9,6.41,1.4,25,180,24,-67,1.143,0.25
D450,450,28,M12,6.65,3.0,15,165,14,47,1.841,0.25
D450,450,29,M9,6.41,1.4,15,150,-2,52,2.272,0.25
D450,450,30,M9,6.41,1.4,15,90,37,23,2.757,0.25
D450,450,34,M9,6.41,1.4,15,15,20,-41,7.501,0.25
D750,750,13,M2,10.0,0.0,15,300,12,-23,0.106,0.25
D750,750,14,M2,10.0,0.0,15,225,16,-41,0.125,0.25
D750,750,15,M2,10.0,0.0,15,135,30,-65,0.181,0.25
D750,750,16,M9,6.41,1.4,15,285,-13,41,0.22,0.25
D750,750,27,M1,0.0,0.0,15,195,7,-51,2.564,0.25
D750,750,30,M1,0.0,0.0,25,105,-14,16,3.358,0.25
D750,750,31,M1,0.0,0.0,25,180,33,-68,4.301,0.25
D750,750,33,M1,0.0,0.0,25,195,32,-5,6.722,0.25
D750,750,22,M2,10.0,0.0,15,285,-38,13,0.839,0.25
D750,750,24,M2,10.0,0.0,25,165,0,59,0.877,0.25
D750,750,25,M12,6.65,3.0,25,195,29,80,1.044,0.25
D750,750,36,M1,0.0,0.0,15,120,10,-16,19.77,0.25
D750,750,29,M2,10.0,0.0,15,255,14,2,4.303,0.25
D750,750,30,M9,6.41,1.4,15,0,32,-9,5.164,0.25
D750,750,41,M1,0.0,0.0,25,75,36,-19,40.873,0.25
D750,750,40,M1,0.0,0.0,15,15,34,-79,50.664,0.25
D750,750,31,M2,10.0,0.0,15,165,-15,7,6.719,0.25
D835,835,14,M12,6.65,3.0,25,90,-21,32,0.088,0.25
D835,835,14,M8,5.76,1.4,25,165,37,-32,0.091,0.25
D835,835,13,M18,5.67,20.0,5,195,-38,4,0.102,0.25
D835,835,13,M13,2.91,5.0,5,120,39,56,0.117,0.25
D835,835,14,M8,5.76,1.4,15,180,-36,32,0.151,0.25
D835,835,19,M11,5.73,3.0,25,255,26,-24,0.3,0.25
D835,835,21,M18,5.67,20.0,25,135,-11,-55,0.481,0.25
D835,835,20,M8,5.76,1.4,15,180,-6,56,0.59,0.25
D835,835,22,M13,2.91,5.0,5,270,-1,28,0.855,0.25
D835,835,24,M11,5.73,3.0,15,135,-16,-65,1.453,0.25
D835,835,24,M18,5.67,20.0,15,90,26,39,1.461,0.25
D835,835,27,M13,2.91,5.0,25,15,-34,59,1.821,0.25
D835,835,25,M12,6.65,3.0,15,135,-40,37,1.85,0.25
D835,835,27,M12,6.65,3.0,5,330,-2,-58,2.591,0.25
D835,835,28,M12,6.65,3.0,15,300,14,-37,3.786,0.25
D835,835,28,M8,5.76,1.4,5,180,-19,51,3.416,0.25
D900,900,12,M11,5.73,3.0,15,75,11,-2,0.104,0.25
D900,900,13,M11,5.73,3.0,15,300,19,28,0.133,0.25
D900,900,12,M2,10.0,0.0,5,75,21,38,0.101,0.25
D900,900,14,M11,5.73,3.0,15,0,12,-69,0.155,0.25
D900,900,15,M15,5.75,5.0,15,15,-20,37,0.217,0.25
D900,900,18,M2,10.0,0.0,15,300,-14,69,0.434,0.25
D900,900,21,M11,5.73,3.0,15,300,32,-77,0.828,0.25
D900,900,22,M2,10.0,0.0,15,150,-39,0,1.112,0.25
D900,900,22,M9,6.41,1.4,5,210,-24,-22,0.965,0.25
D900,900,26,M2,10.0,0.0,25,120,8,55,1.645,0.25
D900,900,25,M9,6.41,1.4,15,45,-4,57,2.22,0.25
D900,900,26,M15,5.75,5.0,15,120,-35,42,2.767,0.25
D900,900,26,M2,10.0,0.0,15,210,-3,22,2.546,0.25
D900,900,27,M9,6.41,1.4,15,45,-8,46,3.511,0.25
D900,900,30,M9,6.41,1.4,25,270,21,30,4.105,0.25
D900,900,27,M11,5.73,3.0,5,300,-1,75,3.369,0.25
D900,900,30,M2,10.0,0.0,25,105,-22,12,3.888,0.25
D900,900,29,M16,6.44,5.0,15,180,-28,-29,5.144,0.25
D1450,1450,13,M5,7.89,0.4,25,330,-18,-80,0.08,0.25
D1450,1450,14,M2,10.0,0.0,25,105,-11,-25,0.098,0.25
D1450,1450,11,M5,7.89,0.4,10,225,-37,-27,0.179,0.25
D1450,1450,18,M7,7.7,0.8,25,60,0,15,0.275,0.25
D1450,1450,13,M11,5.73,3.0,5,30,16,-48,0.33,0.25
D1450,1450,14,M7,7.7,0.8,5,90,9,-15,0.401,0.25
D1450,1450,15,M7,7.7,0.8,10,315,-10,-58,0.457,0.25
D1450,1450,21,M2,10.0,0.0,25,105,-4,-23,0.514,0.25
D1450,1450,23,M7,7.7,0.8,25,45,29,-73,0.843,0.25
D1450,1450,23,M17,6.59,10.0,25,225,-4,55,0.83,0.25
D1450,1450,17,M11,5.73,3.0,10,90,33,4,0.732,0.25
D1450,1450,21,M17,6.59,10.0,5,330,34,4,1.914,0.25
